dataset,sample_type,dpt,umap1,umap2
GSE165399,PASC,0.4917347,8.078048,7.2050195
GSE165399,PASC,0.5041407,7.2622986,7.5349407
GSE165399,PASC,0.4661269,7.9998884,5.8212276
GSE165399,PASC,0.57307214,8.998548,3.86574
GSE165399,PASC,0.5554066,8.91635,3.843831
GSE165399,normal,0.0947666,5.106823,-0.6803631
GSE165399,PASC,0.47446355,7.9652944,7.363133
GSE165399,PASC,0.4465604,8.518595,6.535804
GSE165399,normal,0.13438144,0.45215616,2.7955685
GSE165399,PASC,0.5221211,8.0673895,7.6572213
GSE165399,PASC,0.4470537,7.949397,5.4981117
GSE165399,PASC,0.46176136,7.7498913,5.6096683
GSE165399,PASC,0.48153552,7.0317764,5.2592444
GSE165399,PASC,0.50751996,6.957113,6.1208262
GSE165399,PASC,0.4872406,7.525389,4.3613067
GSE165399,normal,0.11801186,5.9318085,-0.067496695
GSE165399,PASC,0.5006295,7.393151,7.3357778
GSE165399,PASC,0.54291236,8.821572,3.7279274
GSE165399,normal,0.40953943,6.119784,-2.5714571
GSE165399,normal,0.42583123,8.573659,-0.9422022
GSE165399,PASC,0.49453518,8.008145,5.1178193
GSE165399,PASC,0.408818,7.604806,6.9613285
GSE165399,PASC,0.49174666,8.615456,4.712746
GSE165399,PASC,0.4733736,8.094586,6.02182
GSE165399,PASC,0.4660053,9.193516,7.110533
GSE165399,PASC,0.50169474,9.544424,5.8016915
GSE165399,PASC,0.4882435,9.252555,6.5555706
GSE165399,PASC,0.49335623,8.760244,5.396833
GSE165399,PASC,0.9253605,8.194742,2.6069796
GSE165399,PASC,0.4796401,7.815912,4.8837585
GSE165399,PASC,0.46672976,7.6100235,6.144659
GSE165399,PASC,0.46258664,7.4050183,5.704688
GSE165399,normal,0.42421305,6.6638837,3.9735827
GSE165399,PASC,0.4576654,8.692572,6.3822417
GSE165399,PASC,0.49559033,6.9302006,6.339591
GSE165399,normal,0.4873693,6.0113997,-2.49828
GSE165399,PASC,0.52076405,8.309046,5.4241824
GSE165399,PASC,0.51152694,9.096351,7.628895
GSE165399,PASC,0.55220187,9.021627,4.1126804
GSE165399,PASC,0.4631227,8.607755,5.322903
