gene,module,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99
TFPI2,Early,1.8526943633559667,1.8656071560909333,1.87630258961272,1.8843540190396717,1.8893234005810824,1.890756406290457,1.8881911089485994,1.8811563536480334,1.8692016120786146,1.8518774415405848,1.828777823749621,1.7995249662914339,1.7638062133748869,1.721356676065823,1.6720021138973067,1.615657306454046,1.552339080697022,1.4821668537686825,1.4053805455643094,1.3223460067839472,1.2335229934260208,1.1395227041377856,1.0410328730987028,0.9388590232151033,0.833877513470996,0.7270583367461738,0.6194073110631635,0.5119994621065924,0.4059431980804543,0.3023941512405287,0.20254133636196145,0.10763211977814001,0.018937751250941333,-0.062186113250254645,-0.13440417295080345,-0.196372170790377,-0.24693284609761676,-0.2853116158621903,-0.31147808299329277,-0.32661691982452634,-0.3335051177229973,-0.3364677484660906,-0.3404703939588664,-0.3493409164219722,-0.364063421670217,-0.38260700407419757,-0.401516437178223,-0.4179430793297184,-0.43076495219486666,-0.44041548572023426,-0.4481352611742968,-0.45530327514973085,-0.4630624039802819,-0.47216741828673986,-0.4829971960937803,-0.49564130025823905,-0.5099808564428613,-0.5257653600511029,-0.542678355655477,-0.560403659231093,-0.5786088025972724,-0.5970283540146651,-0.6154248362113576,-0.6336172236555028,-0.6514475600359537,-0.6688143407816297,-0.6856285458408878,-0.7018445795775206,-0.7174211887968643,-0.732341817940534,-0.7465972393202498,-0.7601907097671692,-0.7731132729956087,-0.7853969545119521,-0.7970409401084099,-0.8080688418108752,-0.81849667237254,-0.8283434299751571,-0.8376256701771115,-0.8463626625627529,-0.8545826330021141,-0.8622975232094402,-0.8695312166132206,-0.8762994545640507,-0.882622592256666,-0.8885123000027147,-0.8940092881916679,-0.8991092143819818,-0.9038403044436897,-0.9082145000910362,-0.9122559561551076,-0.9159771571553414,-0.9193938444423332,-0.9225185025355206,-0.9253750148633931,-0.9279677238674945,-0.9303167133399637,-0.9324341963976418,-0.9343283151184231,-0.9360191532944464
DCDC2,Early,2.098218819302039,2.0691740738505877,2.038871266782466,2.0071302817424272,1.9737729687109797,1.9386215709357841,1.9014900730543256,1.8622042577186249,1.820595806587971,1.776504659931828,1.7297750839583226,1.680291458125004,1.627940914759479,1.5726412610271485,1.5143476644727762,1.453037315601593,1.38874364212145,1.3215315331122948,1.251506777437798,1.178829434828496,1.1037075436073707,1.0263920082168838,0.9471809251576407,0.8664176166526338,0.7844855181742777,0.7018101447801645,0.6188472930985282,0.5360983787471416,0.45409509891441924,0.3734092640381977,0.29467088809469005,0.21856504246127667,0.1458585980827864,0.07741988882905611,0.014219301395657618,-0.042660696383746914,-0.09209260758668358,-0.13302562238516133,-0.16477171989816586,-0.1874211549368962,-0.20233286214230412,-0.21241741170037823,-0.2217128707195811,-0.23404985788612026,-0.2513893998494259,-0.27304819493429794,-0.2965295866313797,-0.3191625044497599,-0.33930092872811496,-0.3565767614129271,-0.37156200957560837,-0.38523118921681804,-0.398582019099136,-0.41244389964443084,-0.4273756634745497,-0.44367442392221973,-0.4614190310512554,-0.48052158965336483,-0.5007890055573117,-0.521973717091419,-0.5438189208059571,-0.5660609310760503,-0.5884814846327855,-0.6108839479005659,-0.6331027554087385,-0.6550028198908683,-0.6764891673299416,-0.6974746890519691,-0.7179009848849984,-0.7377236156409445,-0.7569067940090487,-0.7754377388068973,-0.7932948203411745,-0.8104796116804852,-0.8269793316424155,-0.8427981095320529,-0.8579467601960554,-0.872426660069452,-0.886248427365325,-0.8994252365332396,-0.9119620034125855,-0.9238809475974051,-0.9351956368044149,-0.9459139363766385,-0.9560555096716358,-0.965633924406123,-0.9746717934412935,-0.9831801282573811,-0.9911787888455209,-0.9986846856932143,-1.005708830280695,-1.0122771782399411,-1.0184034939212452,-1.024105277712835,-1.029393541094944,-1.0342971892031851,-1.038821727777675,-1.0429872134431244,-1.0468081970841276,-1.0502988363181278
NR5A2,Early,1.9672918680481852,1.953046720349173,1.9372357749090465,1.9195906294917664,1.8998513800851262,1.8777567063062803,1.8530304158806772,1.8254303094290936,1.7947326003906106,1.7606979221272834,1.7231492283092706,1.681918679015883,1.6368780927043156,1.5879403625802868,1.5350743284897441,1.4782665349116202,1.4175984231576415,1.3531705555431581,1.2851536047301364,1.2137837505225848,1.1393386015656937,1.0621517131448839,0.9826246263362348,0.9011868555359409,0.8183104062593586,0.7345267715886706,0.6503865656096828,0.5664945785851321,0.4834662235575461,0.40199198121330504,0.32278711872496674,0.24662391218329793,0.17434970532291805,0.10690496824794274,0.04527974403484331,-0.009486705360213192,-0.05638769450575047,-0.09462474445418532,-0.12385049030636955,-0.14452489842723026,-0.1583040601861008,-0.16811915461982985,-0.1776824891725249,-0.19026906685358602,-0.20735368359058928,-0.22809005792689435,-0.2501174541004005,-0.2710960278159282,-0.2897103248427582,-0.3058537632903264,-0.3202359448486356,-0.333904983790345,-0.3478381758561772,-0.36283116725243814,-0.37935879623576135,-0.3976561803321759,-0.41773146367285446,-0.4394249504682804,-0.46251993601072816,-0.4867211070220229,-0.5117331502239898,-0.5372855388246316,-0.5631233261089771,-0.5890326401105785,-0.6148251035344848,-0.640349164722352,-0.665494700857019,-0.6901607955304764,-0.7142635287823795,-0.7377494326211164,-0.7605756618348655,-0.7826990171191455,-0.8040922333391609,-0.8247496450123568,-0.8446436329112782,-0.8637678233680505,-0.8821268195872497,-0.8997195592908969,-0.916534711513882,-0.932576879460781,-0.9478712037104314,-0.9624070614830427,-0.9761989705776618,-0.9892674683685503,-1.0016068893731533,-1.013242728262968,-1.0241856078177844,-1.0344503999293098,-1.0440576419718055,-1.0530126453351667,-1.0613355933009951,-1.0690530428187672,-1.0761699511857183,-1.08270720986877,-1.0886853562421834,-1.0941146589930897,-1.0990167177737291,-1.1034120699583634,-1.107305672844228,-1.1107240833807994
ANXA4,Early,2.33936097014897,2.285482672136035,2.229695367934337,2.1720520175960614,2.112614543643763,2.0514587196905683,1.9886643931997712,1.9243220036451036,1.8585325825107337,1.7914044942111325,1.723054250861107,1.6535999941155317,1.583176161029953,1.5119245215902204,1.4399905122473344,1.3675216063773792,1.29468564660728,1.221643550018676,1.1485676404736767,1.0756335009145268,1.0030167142834703,0.9308977521429533,0.8594501605101361,0.7888487075572291,0.7192559399059391,0.6508225900124848,0.5836855392425138,0.5179519298554466,0.4537052757797288,0.39099324106232713,0.3298190847833759,0.2701392167460767,0.2118493463861267,0.1547958895521892,0.09877311681077612,0.04353781930685306,-0.011156470894748879,-0.06552118661775308,-0.11967691382713475,-0.17361876390269215,-0.22722574349443334,-0.2803377502907527,-0.33290671285966694,-0.38503244053029395,-0.43682859372232324,-0.4880780362217961,-0.538019772817315,-0.5854776829653551,-0.6292683131920889,-0.6685398214273706,-0.7029064140602831,-0.7323705354009272,-0.7571933192450769,-0.777763818283784,-0.7945134532498481,-0.8078716079509849,-0.818246889559053,-0.8260108332093813,-0.8314999389258534,-0.8350120051557558,-0.8368142764701147,-0.8371389623285107,-0.8361897552393479,-0.8341450898399881,-0.831160994591869,-0.8273796468658564,-0.8229183735467912,-0.8178892055142956,-0.8123907299424369,-0.8065093124547787,-0.8003288743647834,-0.7939203006653756,-0.787351624654362,-0.7806835466992474,-0.7739739154724185,-0.7672732467159592,-0.7606300192468699,-0.7540866011068986,-0.7476841381827428,-0.7414580729708651,-0.7354405888875929,-0.7296634619642376,-0.7241490983767235,-0.7189235707661262,-0.7140072483832864,-0.709414797088809,-0.7051649565934671,-0.7012679115226811,-0.6977342538868878,-0.6945721313864235,-0.6917864326414899,-0.689385305352423,-0.6873663052091222,-0.6857314691366714,-0.6844816119051043,-0.683611844894219,-0.6831205385639485,-0.6829995452139564,-0.6832472353041757,-0.6838554611342702
KCNJ16,Early,2.309931046980667,2.2632868452441697,2.215306532220836,2.1658738940643625,2.114820525081305,2.0620406497947883,2.007406920097786,1.9508226071002612,1.8922014202816064,1.8314765540774791,1.7685930330755568,1.703525109297916,1.6362686073967851,1.5668388369806592,1.4952949488096328,1.421693310078619,1.346112556503979,1.2686849074318056,1.1895411904256015,1.1088338056790217,1.0267475123309486,0.9434775078896942,0.8592311679612358,0.7742576216292647,0.688807389760063,0.6031630042194928,0.5176400517099398,0.4325868258246652,0.3484058996779581,0.26555308206819234,0.18457116820564526,0.106100378081926,0.030897841426241898,-0.040117169360411764,-0.10589594609612739,-0.16521824339472385,-0.21677682945811663,-0.25933719312857245,-0.2919741469290865,-0.314485882384043,-0.3279485953815109,-0.3350153714845444,-0.33965974998889165,-0.3460789992417161,-0.35706955841288895,-0.3730263458124516,-0.3921971071590216,-0.41196737885643003,-0.430167371846158,-0.44568957513185115,-0.4584904955075579,-0.4691960871933351,-0.4787322335574828,-0.4880460426528054,-0.4978608934806916,-0.5086458167741248,-0.5206565525841008,-0.5338826625411914,-0.5481974944296651,-0.5633877575675349,-0.5791987557407474,-0.5953959735828112,-0.6117024463582256,-0.6279476806996599,-0.6439723175005072,-0.6596368305560744,-0.6748559731826961,-0.6895549370661354,-0.703690576946088,-0.7172416681380498,-0.7301970763812969,-0.742556453730182,-0.754319452239057,-0.7655076445380745,-0.7761419073660909,-0.7862330270381824,-0.7958123186626341,-0.8048797822394462,-0.8134782150832751,-0.8216184035091968,-0.8293316626254965,-0.8366179924321743,-0.8435097518744581,-0.8500281656368525,-0.8561836720887859,-0.8619867095996866,-0.8674588507997066,-0.8725997477431985,-0.8774417593753903,-0.8819740993812059,-0.8862287787602258,-0.8901950111973739,-0.8938832350620788,-0.8973045846150639,-0.9004691502801102,-0.9033880663179412,-0.9060397600984049,-0.9084670289361579,-0.9106378618316195,-0.9125839218387227
SFRP5,Early,2.3308763842837275,2.2761600972260876,2.221039310391681,2.1654112102936485,2.1091497190794914,2.052141516774642,1.9942522704291172,1.9353641572879028,1.8753308369864916,1.8140479951112087,1.751377546395032,1.6872211801315489,1.6214764580656036,1.554058202600419,1.4849011234195229,1.4139714496695668,1.3412402885093533,1.2667485401946037,1.1905314765054815,1.112671648416837,1.0332962594762807,0.9525651583896587,0.8706760922649085,0.7878504478073104,0.7043749020386176,0.6205447623097721,0.5366887315933598,0.45318654437369266,0.37044270042753724,0.28890785303123584,0.20910057239953037,0.1316088466123777,0.05710471565140066,-0.013570926235038595,-0.07945748588504488,-0.13938911839470866,-0.19208515795873762,-0.2362352954672341,-0.27082527962465014,-0.29557706373842163,-0.3115724408107921,-0.3215975062429617,-0.32977793261892935,-0.34021462723023915,-0.35523140001892894,-0.3745618364752543,-0.3960303431802043,-0.4171435054615938,-0.43619927231068983,-0.45265393298859147,-0.4667588927368886,-0.47923684781722564,-0.4908990491733596,-0.502470444457158,-0.5144812360661828,-0.5272473690950885,-0.5409084297377129,-0.555459164750202,-0.5707783742922072,-0.5867005811823239,-0.6030437980441776,-0.6196140300868698,-0.6362337927144722,-0.6527372335138764,-0.6690020269496222,-0.6849167292056617,-0.7003920351364749,-0.7153555250232158,-0.7297452856347466,-0.7435279213494235,-0.7566640328383403,-0.7691247272602996,-0.7808934944203312,-0.7919526984283536,-0.8022967108088086,-0.8119135241471727,-0.8208031384434458,-0.8289591747586622,-0.836381257861118,-0.8430697629825172,-0.8490348213788641,-0.8542820615257166,-0.8588163614352251,-0.8626441000463552,-0.8657750333834073,-0.8682211688609053,-0.8699933881982611,-0.8711078263587412,-0.8715757402934612,-0.8714087621852411,-0.8706339087167593,-0.8692523055831272,-0.8672905942353193,-0.8647611573195633,-0.8616801297991251,-0.858064397100679,-0.8539364731264567,-0.8493076148275742,-0.8442059645818214,-0.8386367756330525
LEFTY1,Early,2.4269529295836856,2.3640285342554304,2.3003853224865223,2.235970403088267,2.1707298774207544,2.104595238801484,2.0375488568342246,1.9695081205194895,1.9004392802416348,1.8303035491289505,1.759052065797594,1.6866606514184475,1.6130945489246538,1.5383507359625732,1.4624186342944665,1.3852932066642678,1.307030366614312,1.2276487519920443,1.1472264402664916,1.0658420126322867,0.9836042738204611,0.9006603117081486,0.8171345465201855,0.7332274610480078,0.6491491088695781,0.5651160919957445,0.48140042225408414,0.39828267480748636,0.31608926384904357,0.23519445750447748,0.156034985874731,0.07913925712115272,0.00512232020943053,-0.06520130055452457,-0.13085462935666536,-0.1906521479818023,-0.24316982414000937,-0.2869277119990253,-0.3205899312500832,-0.3435540260676609,-0.3565566951514459,-0.36223141597286845,-0.3648555745205761,-0.36905866098224666,-0.37789274880841484,-0.39163488708272387,-0.4083333909423091,-0.4253872732173675,-0.44089522160569694,-0.45413841966664487,-0.4653135722495981,-0.47516140785909705,-0.48454430473368204,-0.4942344742283077,-0.5048049042205088,-0.516562111741916,-0.5296287539777422,-0.5439214643400913,-0.5592654500434646,-0.5754164041686495,-0.5921068484185287,-0.6090617486118856,-0.6260592136190021,-0.6428771004473571,-0.6593695805338332,-0.6753757135471137,-0.6908033177011865,-0.705559707484433,-0.7195907323941408,-0.7328500496745008,-0.7453142360848047,-0.7569674242684441,-0.7678015546157129,-0.777823931147907,-0.7870343020022234,-0.7954397193371545,-0.8030706585519013,-0.8099271196464637,-0.8160239625262371,-0.8214070262214244,-0.8260765625948288,-0.8300625433200444,-0.8333883916377792,-0.8360767752003315,-0.8381430576387031,-0.8396333298459001,-0.8405473399591193,-0.8409238748500708,-0.8407777944241499,-0.8401325219220646,-0.8390263404899183,-0.8374516942436117,-0.8354622299602502,-0.8330503917557346,-0.8302547146389715,-0.8270825026312568,-0.8235727944671042,-0.8197099746527082,-0.8155401340810748,-0.8110710804991068
PDLIM3,Early,2.290791394379864,2.249362694330835,2.206705246825426,2.1626397449384873,2.1170017323184274,2.0696091519338844,2.0202892971146236,1.968859010786798,1.9151356858978033,1.8589521159898323,1.8001476948599924,1.7385948175799575,1.6741631291151875,1.6067569257694378,1.536318455312216,1.4628059161290707,1.3862523094945687,1.3067126375329887,1.2243007546415872,1.139179467108228,1.0515693334512681,0.9617739653967248,0.8700903744157016,0.7769327265040153,0.6827322383160093,0.5879982295225021,0.49325872051656716,0.39913468528130824,0.3062432476511298,0.21532033604887776,0.12713845531004328,0.04254903831845699,-0.03748537775100786,-0.1119148023458753,-0.17956081495347911,-0.23918449272444678,-0.28954498773505605,-0.32962723578174774,-0.35889496615280686,-0.37777114518393473,-0.3881324453555128,-0.39335159692829674,-0.39774131646696137,-0.4049886713725139,-0.4167030238013422,-0.4318973606332694,-0.4481848646852311,-0.46333574983897824,-0.47620817199448984,-0.4867848054826181,-0.4957102751999067,-0.5038395891682644,-0.5119697281684864,-0.520688389898488,-0.5303481379748941,-0.5411002282394707,-0.5529284350655554,-0.5656655519953421,-0.5791355722311392,-0.5930783357251097,-0.6072757590544896,-0.6215180091151564,-0.6356117534402714,-0.6494137114960891,-0.6628149790765382,-0.6757140772623248,-0.6880686544177546,-0.6998278335778699,-0.7109665887761241,-0.721484094980653,-0.7313635765435517,-0.7406300594313667,-0.7492829936228556,-0.7573479551058075,-0.7648241188483584,-0.7717453111569397,-0.7781197823501929,-0.7839728334052861,-0.7893209649595031,-0.7941806776501272,-0.7985778224755695,-0.8025200997332288,-0.8060245600816315,-0.809107704158061,-0.8117868576316652,-0.8140785211397277,-0.8159909450008901,-0.8175414548843001,-0.8187377510873568,-0.819597159279208,-0.8201196794598534,-0.82033033759584,-0.8202376590164306,-0.8198501690508889,-0.8191761180178563,-0.8182237562359745,-0.8170021590557497,-0.815527552103844,-0.8138004854015001,-0.8118289342567383
FAM3B,Early,1.8383229297737271,1.818968802642432,1.7981755287929273,1.7758391541894958,1.7518525533173632,1.7261149436198677,1.6985325902715827,1.669014225153013,1.6374816184474488,1.6038674643215953,1.568119257177751,1.5301999964269308,1.490091710354486,1.447798979985719,1.4033471771530763,1.3567902170005064,1.3081989292269225,1.2576832584395916,1.2053683018679378,1.1514168621034913,1.09601711357023,1.039377316726151,0.981739208752619,0.9233656700247033,0.8645379050186848,0.805560728110482,0.7467502300459894,0.6884415304454368,0.6309782062065353,0.5747126438910408,0.5200074492709995,0.4672227614125254,0.41671871938173266,0.3688459478075679,0.32392723278059926,0.2822205212640316,0.2438815681181609,0.20888183003148494,0.1769242451324439,0.14735619350866663,0.11915469697137704,0.09108076436944294,0.06203530201674902,0.031553512038339844,7.623002297148766e-05,-0.0312868787463881,-0.0614250918270857,-0.08981863904053201,-0.11667472368503924,-0.14266499454731332,-0.1685608258110369,-0.19498629407707896,-0.22233078649617927,-0.25076485816422744,-0.2803015473840085,-0.31084676694353364,-0.3422440572093835,-0.374324977405039,-0.4068974768543433,-0.4397924100076539,-0.4728476790465632,-0.5059212721866838,-0.5388909112910866,-0.5716484136853125,-0.6041032160229904,-0.6361784980336579,-0.6678067776907385,-0.6989374875226203,-0.7295188267047253,-0.7595093898160474,-0.7888799287719608,-0.8175976716222221,-0.8456395370470364,-0.8729838532728559,-0.8996165248372102,-0.9255213419582585,-0.9506887901988336,-0.9751116456344193,-0.9987830367270616,-1.021700672964109,-1.0438633209925952,-1.065271509392363,-1.085928585835749,-1.1058403647010222,-1.1250140699126987,-1.1434563968154516,-1.1611745693337971,-1.1781856782159803,-1.1944974759663596,-1.2101217675347542,-1.2250731769634766,-1.239369147387334,-1.2530232456889538,-1.266048510171121,-1.2784660840275408,-1.2902902389139643,-1.3015359512592664,-1.3122243642571523,-1.322369573370092,-1.3319921932119483
SLC4A4,Early,2.0073657026295306,1.980444762806463,1.9520704079337596,1.9221243565758823,1.890487901824503,1.8570465914991912,1.8216898026746227,1.7843154218812682,1.7448315469965516,1.7031552108264798,1.6592196141430693,1.6129758275755037,1.5643927916101346,1.5134611458455882,1.460195356356715,1.4046375449496953,1.346856212743672,1.2869475165891189,1.2250408002141064,1.1612922121324567,1.0958898113172197,1.029051439836725,0.961023659172607,0.892078559173883,0.8225192892032185,0.752668995844395,0.6828810342492634,0.613532586045898,0.5450295522756786,0.4778067661296845,0.4123367151408842,0.34912869023855586,0.2887341041581585,0.23173755651274805,0.17874938801915782,0.1303567511271821,0.08705957636472539,0.049146972492392964,0.016527250124003162,-0.011464817447149346,-0.036201379967866404,-0.05966386421980885,-0.08394793642867358,-0.11046403889233598,-0.13926110098161223,-0.16909248742266378,-0.19826013631177397,-0.22558059508437556,-0.25079496354793246,-0.2743810476452845,-0.29711150596253777,-0.3197058129870851,-0.34266560113798994,-0.3662578545907927,-0.3905595839204302,-0.4155184559737687,-0.4410015105040249,-0.4668477060602952,-0.49288025869845675,-0.5189402543315543,-0.5448792029559805,-0.5705764830358537,-0.595935086775121,-0.62087864180803,-0.6453476883122194,-0.6693028700546414,-0.6927147230446088,-0.7155654837931514,-0.7378441963759343,-0.7595473506424425,-0.780671968283148,-0.8012264523856473,-0.821213143050284,-0.8406393796826805,-0.8595168627845537,-0.8778535699707105,-0.8956616272156577,-0.912950714025361,-0.92973572194746,-0.9460240967557748,-0.9618303045251552,-0.9771650884435414,-0.992042808217586,-1.0064744197716238,-1.020472687289346,-1.0340496303770617,-1.0472163113273036,-1.0599857070601575,-1.072369198972748,-1.0843802958261484,-1.096028358021732,-1.1073242351156365,-1.1182828186555016,-1.12891102257416,-1.13922214289629,-1.1492255400232654,-1.1589321698794206,-1.1683513928661293,-1.1774928884893576,-1.1863662298868736
