cell_id,ANXA4,C8orf4,CALB1,CAV1,COL17A1,DCDC2,DMBT1,ECM1,EMP1,EPCAM,FABP5,FAM3B,GATA6,GJB6,ID1,IGFBP6,INHBA,KCNJ16,KIRREL,KRT14,KRT15,KRT16,KRT17,KRT19,KRT5,KRT6A,LAMC2,LDHB,LEFTY1,LGALS1,LY6D,MT1X,MT2A,NDFIP2,NR0B2,NR5A2,PDLIM3,PDLIM7,PIGR,PTHLH,RHCG,S100A2,S100A4,S100A7,SFRP5,SLC3A1,SLC4A4,SLPI,SPINK1,SPRR1B,SYT8,TFPI2,VCAM1,t,dataset,sample_type
CELL_0001,2.5888453,0.0,1.976417,2.478598,2.3085585,0.0,0.0,1.976417,0.0,0.0,2.9840038,0.0,0.0,0.0,0.0,2.3085585,0.0,0.0,0.0,3.2127519,0.0,0.0,3.076072,0.0,2.963895,3.076072,0.0,2.8586178,0.0,3.035057,2.5888453,1.976417,3.407661,0.0,0.0,0.0,0.0,1.976417,0.0,0.0,0.0,3.5946655,1.976417,1.976417,0.0,0.0,0.0,2.889756,0.0,2.5888453,0.0,0.0,0.0,0.4917347,GSE165399,PASC
CELL_0002,0.0,0.0,2.4879327,2.0362127,2.0362127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8299053,0.0,0.0,0.0,2.3355052,0.0,0.0,3.0161572,2.5868175,0.0,3.1694782,2.0362127,0.0,0.0,3.1294687,0.0,3.0161572,3.254649,0.0,0.0,0.0,0.0,2.0362127,0.0,2.3355052,0.0,3.2917364,2.3355052,0.0,0.0,0.0,0.0,2.4879327,0.0,0.0,0.0,0.0,0.0,0.5041407,GSE165399,PASC
CELL_0003,0.70403,0.0,1.7857866,1.7480266,2.004918,0.0,0.0,1.3483952,1.3483952,0.0,2.103803,0.0,0.0,0.0,1.8195769,1.7053822,0.0,0.0,0.0,2.478125,0.0,1.599929,2.4233491,2.0917547,2.3069336,2.4175262,1.8195769,1.850085,0.0,2.4175262,2.2967012,2.32144,2.4599333,0.0,0.0,0.0,0.0,1.0191512,0.0,1.8195769,0.0,2.626268,1.451125,1.0191512,0.0,0.0,0.0,2.1567154,0.0,0.0,1.3483952,0.0,0.0,0.4661269,GSE165399,PASC
CELL_0004,0.0,0.0,2.5001981,0.0,0.0,0.0,0.0,1.6757075,2.7508337,0.0,2.1616967,0.0,0.0,1.9958612,1.6757075,0.0,0.0,0.0,0.0,2.6946247,0.0,2.4093883,2.738161,2.3483624,2.1616967,2.566336,1.6757075,1.9958612,0.0,2.2697577,2.813473,0.0,2.3483624,1.9958612,0.0,0.0,0.0,0.0,0.0,0.0,2.774004,2.784646,1.9958612,1.6757075,0.0,0.0,0.0,2.8606145,0.0,2.89239,1.6757075,0.0,0.0,0.57307214,GSE165399,PASC
CELL_0005,0.0,0.0,2.4110804,1.8722551,0.0,0.0,0.0,0.0,0.0,1.3630987,2.5956419,0.0,0.0,0.0,1.3630987,0.0,2.2382815,0.0,0.0,2.5956419,0.0,2.2766378,2.6557724,2.3100214,2.5772705,2.6353226,0.0,1.8722551,0.0,1.6953481,2.5347252,2.3895211,2.5956419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6953481,2.5097203,1.6953481,0.0,0.0,0.0,0.0,2.3658001,0.0,2.5956419,1.9886397,0.0,0.0,0.5554066,GSE165399,PASC
CELL_0006,2.4570775,0.0,0.0,0.0,0.0,1.9012364,0.0,0.0,0.0,2.167577,0.0,1.5910316,1.5910316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5910316,1.5910316,0.0,1.9012364,2.426975,1.5910316,1.5910316,1.5910316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9012364,2.6992671,0.0,1.5910316,0.0,0.0,0.0,0.0,0.0947666,GSE165399,normal
CELL_0007,0.0,0.0,2.7024376,2.58765,2.58765,0.0,0.0,2.0950282,2.0950282,0.0,0.0,0.0,0.0,0.0,0.0,2.0950282,0.0,0.0,0.0,2.7024376,0.0,0.0,2.777491,2.499046,2.7432706,2.7432706,2.0950282,2.362797,0.0,2.499046,2.0950282,0.0,2.58765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8068318,2.362797,0.0,0.0,0.0,0.0,2.777491,0.0,0.0,0.0,0.0,0.0,0.47446355,GSE165399,PASC
CELL_0008,0.0,0.0,0.0,2.3263578,1.5711462,0.0,0.0,0.0,1.8787796,0.0,2.1431422,0.0,0.0,0.0,1.7561514,1.8787796,1.2305396,0.0,0.0,2.7177186,0.0,0.0,2.512067,2.183824,2.347259,2.502151,1.2305396,2.2504768,0.0,2.2783718,2.2192295,2.347259,2.8671596,0.0,0.0,0.0,0.0,1.2305396,0.0,1.5711462,1.2305396,2.5981252,1.2305396,0.0,0.0,0.0,0.0,2.3843002,0.0,1.7561514,0.0,0.0,0.0,0.4465604,GSE165399,PASC
CELL_0009,2.8341749,0.0,0.0,0.0,0.0,2.8341749,0.0,0.0,0.0,2.8341749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8341749,2.8341749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.290862,0.0,0.0,0.0,0.0,0.13438144,GSE165399,normal
CELL_0010,0.0,0.0,2.1202188,2.4986033,0.0,0.0,0.0,0.0,0.0,0.0,1.5195044,0.0,0.0,0.0,0.0,1.5195044,0.0,0.0,0.0,2.5376265,0.0,0.0,2.4513526,2.3920367,2.518975,2.4986033,2.262937,2.1202188,0.0,1.841471,2.4235382,2.262937,2.9900248,0.0,0.0,0.0,1.5195044,0.0,0.0,0.0,0.0,2.7627795,0.0,0.0,0.0,0.0,0.0,2.2005315,0.0,0.0,1.5195044,0.0,0.0,0.5221211,GSE165399,PASC
CELL_0011,0.6461677,0.0,1.5341454,1.9649824,1.6850507,0.0,0.0,0.0,1.5918143,0.95212305,2.0833344,0.0,0.0,0.6461677,0.6461677,1.5918143,1.9106499,0.0,0.0,2.3770452,0.0,1.2797745,2.2996733,2.113292,2.2305615,2.3311794,1.5341454,2.186129,0.0,2.3740852,2.2187076,2.1997077,2.5874817,1.143831,0.0,0.0,0.0,0.95212305,0.0,1.5341454,0.0,2.5693102,1.8438169,0.95212305,0.0,0.0,0.0,1.9961303,0.6461677,1.2797745,0.0,0.0,0.0,0.4470537,GSE165399,PASC
CELL_0012,1.3850569,0.0,2.0807936,2.103962,1.884224,0.0,0.0,1.1830401,2.3114629,0.0,2.2276368,0.0,0.0,0.84298617,2.0807936,0.84298617,0.0,0.0,0.0,2.4101722,0.0,0.84298617,2.5386224,2.340237,2.2276368,2.1639004,1.5244441,1.9978402,0.0,2.4932213,2.4167838,2.4583073,2.7370462,1.3850569,0.0,0.0,0.0,0.0,0.0,0.84298617,0.0,2.875857,1.884224,0.0,0.0,0.0,0.84298617,2.488566,0.84298617,1.7787713,1.9978402,0.0,0.0,0.46176136,GSE165399,PASC
CELL_0013,0.0,0.0,1.1452123,1.1452123,0.0,1.1452123,0.0,1.6718112,1.959333,1.6718112,1.4849168,0.0,0.0,1.1452123,0.0,0.0,0.0,0.0,0.0,1.959333,0.0,2.0173988,2.3125715,2.1437693,0.0,1.6718112,2.1437693,0.0,0.0,2.1075735,1.1452123,2.0659945,2.2746928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2299562,1.6718112,1.1452123,0.0,0.0,0.0,2.253318,1.1452123,1.1452123,0.0,0.0,0.0,0.48153552,GSE165399,PASC
CELL_0014,0.0,0.0,2.151141,2.0887725,2.008587,0.0,0.0,2.1318858,1.2150339,1.4135386,1.4135386,0.0,0.0,0.0,1.4135386,1.4135386,1.7312232,0.0,0.0,2.3797803,0.0,0.0,2.5960248,2.2912762,1.5496314,2.268807,2.1318858,2.0378478,0.0,2.5355766,1.2150339,2.4966934,2.7964833,0.87645185,0.0,0.0,0.0,1.2150339,0.0,2.1859381,0.87645185,2.7407813,1.8515811,1.5496314,0.0,0.0,0.0,2.3797803,0.87645185,0.0,1.2150339,0.0,0.0,0.50751996,GSE165399,PASC
CELL_0015,0.0,0.0,2.356573,1.6036385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9108253,0.0,2.1741974,2.4307115,1.6036385,0.0,2.3088129,2.070196,0.0,0.0,2.070196,1.6036385,0.0,2.070196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6036385,1.9108253,1.6036385,0.0,0.0,0.0,2.070196,1.6036385,1.6036385,0.0,0.0,0.0,0.4872406,GSE165399,PASC
CELL_0016,2.310224,0.0,0.0,0.0,0.0,2.0848966,0.0,0.0,0.0,2.199032,0.0,0.0,1.7237939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2783723,0.0,0.0,1.7237939,0.0,1.4035785,1.7237939,0.0,1.4035785,1.7237939,0.0,2.003888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2783723,0.0,2.5834944,0.0,1.4035785,0.0,0.0,1.8929033,2.338351,0.11801186,GSE165399,normal
CELL_0017,0.0,0.0,2.4497654,2.3763306,2.2753563,0.0,0.0,2.5917573,0.0,0.0,1.8174777,0.0,0.0,0.0,0.0,0.0,1.8174777,0.0,0.0,2.6248734,0.0,0.0,2.6248734,2.4497654,1.8174777,2.8271632,2.1200757,1.8174777,0.0,2.3763306,2.6537237,2.2753563,2.976765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9817235,0.0,0.0,0.0,0.0,0.0,2.7020028,0.0,0.0,1.8174777,0.0,0.0,0.5006295,GSE165399,PASC
CELL_0018,0.0,0.0,1.9367455,0.0,0.0,0.0,0.0,0.0,1.6196526,0.0,2.2870553,0.0,0.0,2.3970425,0.0,0.0,0.0,0.0,0.0,2.92505,1.6196526,2.7110875,2.6474504,2.3970425,2.6319473,2.790404,0.0,0.0,0.0,1.9367455,2.9182544,0.0,2.4382155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1014245,2.2870553,0.0,0.0,0.0,0.0,2.5040977,0.0,3.0881226,0.0,0.0,0.0,0.54291236,GSE165399,PASC
CELL_0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.00508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7589803,0.0,0.0,0.0,0.0,0.0,0.0,2.7589803,0.0,0.0,0.0,0.0,0.0,0.0,2.7589803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.521918,0.0,0.0,0.0,0.0,0.40953943,GSE165399,normal
CELL_0020,2.405098,0.0,0.0,1.1080567,0.0,1.1080567,0.0,0.0,1.4431757,1.6282539,2.0197842,0.0,1.1080567,0.0,2.3853445,0.0,0.0,1.1080567,0.0,0.0,0.0,0.0,0.0,1.1080567,0.0,0.0,0.0,1.4431757,0.0,1.7518046,0.0,0.0,1.8427114,0.0,1.6282539,0.0,0.0,0.0,2.3395588,0.0,0.0,0.0,1.4431757,0.0,0.0,0.0,2.0197842,1.7518046,2.4553008,0.0,0.0,0.0,0.0,0.42583123,GSE165399,normal
CELL_0021,0.0,0.0,1.9506587,1.7054801,1.5004606,0.0,0.0,0.7436324,2.1495888,1.5004606,2.1119456,0.0,0.0,0.7436324,2.0153885,1.3975914,1.065646,0.0,0.0,2.2817106,1.065646,0.7436324,2.511881,2.2452152,2.0515292,2.403451,1.796449,1.9738934,0.0,2.2020457,2.4422042,2.0153885,2.561191,1.065646,0.0,0.0,0.0,0.0,0.0,1.065646,1.065646,2.7186363,1.7054801,0.7436324,0.0,0.0,0.0,1.2611808,0.7436324,1.2611808,0.7436324,0.0,0.0,0.49453518,GSE165399,PASC
CELL_0022,0.0,0.0,2.9352791,2.1375358,0.0,0.0,0.0,2.1375358,0.0,0.0,0.0,0.0,0.0,0.0,2.562765,0.0,0.0,0.0,0.0,3.0370674,2.9563992,2.1375358,2.1375358,2.6557477,2.8186307,0.0,2.4195192,0.0,0.0,2.1375358,0.0,0.0,0.0,2.1375358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9116714,0.0,0.0,0.0,0.0,0.0,2.1375358,0.0,0.0,2.6557477,0.0,0.0,0.408818,GSE165399,PASC
CELL_0023,0.7475967,0.0,1.6691192,1.3773489,0.0,0.0,0.0,0.0,1.5523108,1.8509824,1.2474039,0.0,0.0,0.0,1.5523108,0.0,0.0,0.0,0.0,2.2986987,2.026565,1.6157149,1.9621345,1.9432181,1.7551181,1.5523108,1.4750177,1.4750177,0.0,1.3773489,1.8509824,2.053569,2.2986987,0.7475967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1800225,1.6157149,1.0600154,0.0,0.0,0.0,2.026565,0.7475967,2.139023,0.0,0.0,0.7475967,0.49174666,GSE165399,PASC
CELL_0024,1.7307576,0.0,2.2520454,2.2520454,1.537118,0.0,0.0,0.0,0.0,0.0,2.8396661,0.0,0.0,1.537118,1.537118,1.1852751,0.0,0.0,0.0,2.6854565,1.1852751,1.7307576,2.5892186,2.0884979,2.3079994,2.4563904,0.0,2.0284476,0.0,2.3931484,1.9545245,2.219065,2.5733154,0.0,0.0,0.0,0.0,1.537118,0.0,0.0,0.0,2.4420743,2.731993,0.0,0.0,0.0,0.0,2.3320882,0.0,0.0,0.0,0.0,0.0,0.4733736,GSE165399,PASC
CELL_0025,0.0,0.0,1.8156601,2.2085717,1.9189605,0.0,0.0,1.2708862,1.5142384,0.0,2.3095813,0.0,0.0,0.7465289,0.7465289,0.7465289,2.0386372,0.0,0.0,2.2285836,0.0,1.0724028,2.2724814,2.2643135,2.0386372,2.4520621,2.1369214,2.1752236,0.0,2.4292848,0.0,2.07543,2.7669308,0.7465289,0.0,0.0,0.0,1.0724028,0.0,1.9727266,0.0,2.7763283,1.5972763,0.0,0.0,0.0,0.0,1.8156601,1.0724028,0.7465289,1.7229997,0.0,0.0,0.4660053,GSE165399,PASC
CELL_0026,0.0,0.0,2.0948281,1.8036821,0.0,0.0,0.0,0.0,0.0,2.0948281,1.8036821,0.0,0.0,1.8036821,1.8036821,0.0,0.0,0.0,0.0,2.4120924,0.0,1.8036821,2.0948281,2.0948281,1.8036821,2.3413517,0.0,2.3413517,0.0,2.244167,2.7102888,0.0,2.5490773,1.8036821,0.0,0.0,0.0,1.8036821,0.0,0.0,0.0,2.3413517,2.0948281,0.0,0.0,0.0,0.0,2.0948281,0.0,0.0,0.0,0.0,0.0,0.50169474,GSE165399,PASC
CELL_0027,1.2740375,0.0,1.079061,1.9330566,1.6592441,0.0,0.0,0.0,1.6592441,0.0,2.2573698,0.0,0.0,1.079061,1.5928183,1.4097172,0.7563622,0.0,0.0,2.4824023,0.0,1.4097172,2.5309796,1.9580388,2.2417197,2.3494442,1.079061,2.0023315,0.0,2.5869029,2.2334862,1.6592441,2.763806,0.0,0.0,0.0,0.0,1.079061,0.0,1.6592441,0.0,2.6294873,1.8425109,0.0,0.0,0.0,0.0,2.0579028,0.0,0.0,1.4097172,0.0,0.0,0.4882435,GSE165399,PASC
